id,title,genres,release_date,budget,avg_rating,runtime,profit,production_countries,production_companies,cast,director
8965,Atlantis: Milo's Return,Action,2003-02-25,2.1604277457480315E7,3.1078162495714774,70.0,4.681600329154089E7,UnitedStatesofAmerica,WaltDisneyPictures,others,others
94336,Dreileben: Beats Being Dead,Drama,2011-04-13,2.1604277457480315E7,3.127130699979394,88.0,4.681600329154089E7,Germany,others,others,others
944,Lethal Weapon 4,Thriller,1998-07-10,140000000,3.824122807017544,127.0,1.45444603E8,UnitedStatesofAmerica,others,Danny Glover,others
96010,The Way I Spent the End of the World,Drama,2006-09-15,2.1604277457480315E7,3.127130699979394,106.0,4.681600329154089E7,Romania,The,others,others
9830,Haven,Crime,2004-09-11,2.1604277457480315E7,3.127130699979394,115.0,4.681600329154089E7,Spain,others,others,others
9975,Curious George,Family,2006-02-10,50000000,3.127130699979394,86.0,1.9834815E7,UnitedStatesofAmerica,others,others,others
10133,Cypher,Thriller,2002-10-01,7500000,3.127130699979394,95.0,6.09202807490212E7,UnitedStatesofAmerica,others,others,others
10730,King Kong,Drama,1976-09-08,23000000,3.127130699979394,134.0,6.7614445E7,UnitedStatesofAmerica,ParamountPictures,others,others
10784,Cabaret,Romance,1972-02-13,6000000,3.127130699979394,124.0,6.24202807490212E7,UnitedStatesofAmerica,others,others,others
11351,Jeepers Creepers 2,Thriller,2003-08-08,17000000,3.127130699979394,104.0,4.6102666E7,UnitedStatesofAmerica,others,others,others
120771,Bloody Bloody Bible Camp,Horror,2012-05-25,2.1604277457480315E7,2.5,90.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
123235,Paris-Manhattan,Romance,2012-07-16,2.1604277457480315E7,2.5,97.6781920625635,4.681600329154089E7,France,Ciné+,others,others
1265,Bridge to Terabithia,Family,2007-02-16,60000000,3.8798484691766655,96.0,7.7587063E7,UnitedStatesofAmerica,others,others,others
127380,Finding Dory,Family,2016-06-16,200000000,3.127130699979394,97.0,8.28570889E8,UnitedStatesofAmerica,WaltDisneyPictures,others,others
1280,3-Iron,Crime,2004-10-15,2.1604277457480315E7,4.114931237721022,88.0,4.681600329154089E7,Japan,others,others,others
12811,Birdwatchers,Drama,2008-08-31,2.1604277457480315E7,3.127130699979394,104.0,4.681600329154089E7,Italy,others,others,others
13107,Henry Poole Is Here,Drama,2008-08-15,2.1604277457480315E7,3.127130699979394,99.0,-1.9774360457480315E7,UnitedStatesofAmerica,others,others,others
13460,Doomsday,Thriller,2008-03-14,30000000,3.127130699979394,108.0,-7788574.0,Germany,others,others,others
14000,Anamorph,Thriller,2007-09-21,2.1604277457480315E7,3.127130699979394,107.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
14455,When the Last Sword Is Drawn,Drama,2003-01-18,2.1604277457480315E7,3.127130699979394,137.0,4.681600329154089E7,Japan,others,others,others
14525,Adrift in Tokyo,Comedy,2007-11-10,2.1604277457480315E7,3.127130699979394,101.0,4.681600329154089E7,Japan,others,others,others
14552,"Have Dreams, Will Travel",Romance,2007-05-21,5000000,3.127130699979394,86.0,6.34202807490212E7,UnitedStatesofAmerica,others,others,others
15420,The Plague,Horror,2006-09-05,2.1604277457480315E7,3.127130699979394,88.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
16303,The Loved One,Comedy,1965-10-11,2.1604277457480315E7,3.127130699979394,122.0,4.681600329154089E7,UnitedStatesofAmerica,others,others,others
